Count,Hour,Temperature,Humidity,Seasons
254,0,-5.2,37,Winter
204,1,-5.5,38,Winter
173,2,-6,39,Winter
107,3,-6.2,40,Winter
78,4,-6,36,Winter
100,5,-6.4,37,Winter
181,6,-6.6,35,Winter
460,7,-7.4,38,Winter
930,8,-7.6,37,Winter
490,9,-6.5,27,Winter
339,10,-3.5,24,Winter
360,11,-0.5,21,Winter
449,12,1.7,23,Winter
451,13,2.4,25,Winter
447,14,3,26,Winter
463,15,2.1,36,Winter
484,16,1.2,54,Winter
555,17,0.8,58,Winter
862,18,0.6,66,Winter
600,19,0,77,Winter
426,20,-0.3,79,Winter
405,21,-0.8,81,Winter
398,22,-0.9,83,Winter
323,23,-1.3,84,Winter
328,0,-1.8,87,Winter
308,1,-2.2,86,Winter
262,2,-2.9,86,Winter
167,3,-3.5,81,Winter
89,4,-3.8,79,Winter
79,5,-4,79,Winter
70,6,-4.3,82,Winter
146,7,-4.4,81,Winter
219,8,-4.2,79,Winter
328,9,-2.9,68,Winter
334,10,-0.4,57,Winter
388,11,1.9,49,Winter
479,12,4.3,41,Winter
606,13,6,36,Winter
611,14,7.3,35,Winter
589,15,7.6,41,Winter
618,16,6.4,48,Winter
572,17,6,51,Winter
489,18,5.5,53,Winter
385,19,5,52,Winter
359,20,4.6,51,Winter
377,21,4.1,55,Winter
354,22,3.5,54,Winter
366,23,4,56,Winter
342,0,4,58,Winter
227,1,3.9,69,Winter
228,2,3.3,79,Winter
117,3,3.4,71,Winter
76,4,3.5,73,Winter
32,5,3.9,75,Winter
13,6,3.4,86,Winter
22,7,3.1,91,Winter
85,8,3.2,92,Winter
152,9,3.5,91,Winter
200,10,4.4,89,Winter
273,11,5.1,87,Winter
333,12,5.8,85,Winter
495,13,6.8,81,Winter
563,14,7.6,76,Winter
621,15,8,73,Winter
598,16,7.6,77,Winter
545,17,6.7,82,Winter
443,18,6,84,Winter
422,19,5.7,85,Winter
397,20,5.2,87,Winter
385,21,4.7,87,Winter
350,22,4.3,89,Winter
303,23,3.9,90,Winter
285,0,4.2,88,Winter
186,1,4.3,87,Winter
112,2,4.4,87,Winter
65,3,3.6,85,Winter
41,4,2.8,89,Winter
82,5,2,83,Winter
200,6,1.2,76,Winter
498,7,0.2,68,Winter
937,8,-0.8,69,Winter
509,9,-1.5,47,Winter
311,10,-1.1,40,Winter
379,11,-0.5,41,Winter
393,12,-0.3,38,Winter
391,13,0,30,Winter
338,14,0.1,27,Winter
341,15,-0.1,25,Winter
375,16,-0.2,23,Winter
515,17,-1.3,26,Winter
807,18,-2.1,29,Winter
568,19,-2.9,32,Winter
398,20,-3.6,38,Winter
397,21,-4.6,43,Winter
353,22,-5.3,45,Winter
248,23,-5.8,44,Winter
216,0,-6.1,42,Winter
198,1,-6.5,41,Winter
124,2,-6.8,41,Winter
62,3,-6.9,39,Winter
42,4,-7.2,34,Winter
82,5,-7.4,33,Winter
172,6,-7.4,34,Winter
